id_municipio,nome,sigla_uf,idhm_e,idhm_r,renda_pc,indice_gini,prop_pobreza,taxa_analfabetismo_15_mais,expectativa_anos_estudo,taxa_desocupacao,ideb
2911253,Gavião,BA,0.508,0.566,271.53,0.4,27.21,26.28,9.34,8.18,3.8
2911303,Gentio do Ouro,BA,0.45,0.523,207.35,0.52,49.39,25.45,7.93,12.16,3.3
2911402,Glória,BA,0.479,0.563,266.14,0.51,38.55,2.81,9.12,6.89,3.4
2911501,Gongogi,BA,0.456,0.543,23.47,0.47,40.1,28.44,8.6,15.32,2.8
2911600,Governador Mangabeira,BA,0.594,0.594,322.02,0.54,30.73,17.45,9.38,5.95,2.8
2911659,Guajeru,BA,0.437,0.548,241.69,0.46,36.12,29.89,7.96,4.17,3
2911709,Guanambi,BA,0.584,0.663,496.05,0.55,18.63,15.42,9.46,7.88,3.5
2911808,Guaratinga,BA,0.406,0.559,258.74,0.53,40.97,34.47,7.42,13.96,3.3
2911857,Heliópolis,BA,0.437,0.547,241.36,0.5,44.3,31.96,9.39,5.99,3.7
2911907,Iaçu,BA,0.461,0.588,311.24,0.61,43.94,24.99,8.06,12.67,3.2
2912004,Ibiassucê,BA,0.476,0.608,350.98,0.46,21.91,20.99,8.63,5.74,3.5
2912103,Ibicaraí,BA,0.524,0.609,354.75,0.53,32.19,2.15,8.25,14.75,2.7
2912202,Ibicoara,BA,0.484,0.583,300.89,0.48,31.21,16.31,8.57,6.87,3
2912301,Ibicuí,BA,0.435,0.586,307.49,0.5,34.67,2.56,7.72,8.18,3.3
2912400,Ibipeba,BA,0.545,0.577,290.82,0.56,43.23,18.16,9.14,8.27,3.3
2912509,Ibipitanga,BA,0.475,0.553,249.32,0.57,47.05,2.81,9.36,13.02,3.5
2912608,Ibiquera,BA,0.335,0.517,199.55,0.58,52.54,30.06,6.93,9.28,2.7
2912707,Ibirapitanga,BA,0.415,0.561,261.88,0.52,45.03,31.91,7.47,7.7,2.5
2912905,Ibirataia,BA,0.424,0.571,278.69,0.49,36.2,28.88,8.06,13.04,2.6
2913002,Ibitiara,BA,0.49,0.55,244.68,0.55,46.3,23.22,9.85,4.82,4.2
2913101,Ibititá,BA,0.527,0.554,250.63,0.5,44.22,22.73,9.1,7.46,3.5
2913200,Ibotirama,BA,0.548,0.601,337.12,0.55,34.56,17.98,9.34,9.29,3.2
2913309,Ichu,BA,0.562,0.58,296.17,0.47,34.31,14.24,9.35,6.87,3.2
2913408,Igaporã,BA,0.516,0.586,306.74,0.5,31.73,20.39,8.57,16.16,3.7
2913457,Igrapiúna,BA,0.424,0.565,269.34,0.54,44.16,24.49,7.11,5.49,2.7
2913507,Iguaí,BA,0.382,0.559,25.88,0.55,43.17,30.23,6.78,13.19,3.1
2913606,Ilhéus,BA,0.59,0.688,579.46,0.58,19.66,12.48,8.61,13.09,3.4
2913705,Inhambupe,BA,0.429,0.556,254.99,0.53,44.31,25.56,8.01,9.85,2.8
2913804,Ipecaetá,BA,0.424,0.506,186.54,0.53,52.76,26.23,8.53,10.89,2.4
2913903,Ipiaú,BA,0.551,0.687,573.36,0.69,29.68,19.91,8.64,15.14,2.7
2914000,Ipirá,BA,0.39,0.568,274.88,0.52,38.41,27.48,7.65,9.47,2.9
2914109,Ipupiara,BA,0.499,0.558,25.83,0.5,40.28,15.88,9.65,13.84,3.6
2914208,Irajuba,BA,0.453,0.544,236.16,0.52,44.78,27.82,9.26,10.25,2.9
2914406,Iraquara,BA,0.523,0.548,242.58,0.61,53.66,17.72,8.68,9,3.8
2914505,Irará,BA,0.501,0.587,308.34,0.5,33.95,23.27,8.23,5.51,3.2
2914604,Irecê,BA,0.643,0.661,488.15,0.59,25.5,1.34,9.33,8.91,3.5
2914653,Itabela,BA,0.465,0.614,365.39,0.55,31.39,25.74,7.97,13.62,3.1
2914703,Itaberaba,BA,0.485,0.638,422.79,0.58,29.19,17.96,8.11,12.98,3.2
2914802,Itabuna,BA,0.643,0.695,605.12,0.56,17.09,10.38,9.36,14.34,3.3
2914901,Itacaré,BA,0.413,0.594,32.33,0.55,36.47,23,6.95,8.18,3.3
2915007,Itaeté,BA,0.485,0.536,224.79,0.54,50.94,26.32,9,10.38,3.4
2915106,Itagi,BA,0.426,0.543,23.48,0.46,43.38,30.77,9.35,10.4,2
2915205,Itagibá,BA,0.469,0.566,270.27,0.47,35.8,26.51,8.03,19.84,3.7
2915304,Itagimirim,BA,0.516,0.602,339.65,0.52,30.72,27.89,8.73,15.24,3.4
2915353,Itaguaçu da Bahia,BA,0.435,0.55,245.68,0.54,44.7,28.72,8.54,5.9,2.9
2915403,Itaju do Colônia,BA,0.502,0.57,276.93,0.48,37.65,25.65,8.47,13.81,3
2915502,Itajuípe,BA,0.466,0.609,35.42,0.49,28.49,2.18,8.15,12.04,2.6
2915601,Itamaraju,BA,0.502,0.641,432.95,0.55,25.14,22.11,8.34,11.64,2.8
2915700,Itamari,BA,0.454,0.595,3.25,0.51,32.85,28.21,7.79,11.13,2.8
2915809,Itambé,BA,0.436,0.589,312.32,0.4,23.04,24.74,8.16,8.78,2.3
2915908,Itanagra,BA,0.433,0.577,289.16,0.63,48.74,24.56,7.52,15.85,2.7
2916005,Itanhém,BA,0.525,0.624,388.04,0.54,27.57,24.82,9.09,8.54,3.6
2916104,Itaparica,BA,0.553,0.657,476.99,0.63,28.32,7.58,8.21,18.06,2.6
2916203,Itapé,BA,0.491,0.574,285.13,0.47,34.17,23.21,8.26,21.01,3
2916302,Itapebi,BA,0.458,0.568,273.69,0.48,36.38,29.64,8.28,14.69,2.7
2916401,Itapetinga,BA,0.562,0.667,506.76,0.48,12.26,14.89,7.66,8.24,3.4
2916500,Itapicuru,BA,0.319,0.505,18.57,0.54,57.29,38.52,7.02,10.75,2.5
2916609,Itapitanga,BA,0.454,0.536,22.51,0.43,36.57,25.68,8.41,15.87,2.8
2916708,Itaquara,BA,0.411,0.539,229.04,0.55,51.57,3.38,7.93,12.41,3.3
2916807,Itarantim,BA,0.487,0.608,352.74,0.5,27.65,23.03,8.07,12.94,2.4
2916856,Itatim,BA,0.459,0.55,245.37,0.46,40.67,23.32,8.12,11.82,2.5
2916906,Itiruçu,BA,0.482,0.588,309.83,0.5,33.21,24.52,8.71,12.24,2.8
2917003,Itiúba,BA,0.398,0.521,205.18,0.56,54.5,26.55,7.56,5.01,2.9
2917102,Itororó,BA,0.474,0.598,3.3,0.44,22.06,24.37,7.96,7.83,2.8
2917201,Ituaçu,BA,0.425,0.565,26.93,0.52,42.66,2.58,8.27,7.95,3.5
2917300,Ituberá,BA,0.482,0.601,337.03,0.51,32.72,20.38,7.95,7.6,3.1
2917334,Iuiú,BA,0.504,0.553,249.32,0.47,39.17,25.99,8.17,13.41,2.8
2917359,Jaborandi,BA,0.508,0.572,281.14,0.62,48.92,25.57,8.73,18.64,3.9
2917409,Jacaraci,BA,0.49,0.573,283.51,0.47,35.25,25.82,8.84,4.95,3.9
2917508,Jacobina,BA,0.558,0.636,417.88,0.55,28.66,17.56,9.44,9.38,2.9
2917607,Jaguaquara,BA,0.446,0.586,307.08,0.5,32.3,26.78,7.73,9.03,3
2917706,Jaguarari,BA,0.551,0.644,439.23,0.66,36.44,1.81,9.41,10.2,3.2
2917805,Jaguaripe,BA,0.407,0.552,247.75,0.55,47.49,28.35,7.86,5.24,2.1
2917904,Jandaíra,BA,0.435,0.511,192.11,0.54,54.92,27.29,8.03,10.2,2.6
2918001,Jequié,BA,0.568,0.656,473.92,0.55,22.48,15.88,8.91,10.92,2.7
2918100,Jeremoabo,BA,0.424,0.561,262.76,0.53,43.67,32,8.58,4.25,2.8
2918209,Jiquiriçá,BA,0.397,0.558,257.95,0.5,42.59,2.26,7.78,4.14,3.4
2918308,Jitaúna,BA,0.479,0.563,266.56,0.51,42.15,29.72,8.74,13.34,2.6
2918357,João Dourado,BA,0.513,0.573,283.12,0.52,40.96,20.67,9.39,6.45,3.8
2918407,Juazeiro,BA,0.594,0.657,476.58,0.56,21.56,13.35,9.03,11.38,3.2
2918456,Jucuruçu,BA,0.415,0.508,18.88,0.54,53.18,32.04,8.52,5.76,2.6
2918506,Jussara,BA,0.476,0.544,236.05,0.52,45.97,25.77,8.93,6.87,3
2918555,Jussari,BA,0.451,0.577,290.22,0.51,37.14,29.42,7.43,16.31,2.7
2918704,Lafaiete Coutinho,BA,0.483,0.576,288.05,0.51,38.48,26.98,9.02,12.02,3.9
2918753,Lagoa Real,BA,0.395,0.535,223.11,0.48,43.89,23.83,8.46,4.86,3.5
2918803,Laje,BA,0.48,0.548,241.63,0.51,43.59,27.44,8.31,4.04,2.8
2918902,Lajedão,BA,0.497,0.652,463.94,0.58,21.7,24.18,8.87,9.05,3.3
2919009,Lajedinho,BA,0.413,0.522,205.65,0.56,56.72,27.58,7.13,12.21,3.2
2919058,Lajedo do Tabocal,BA,0.479,0.545,237.39,0.46,45.4,29.36,9.69,9.29,2.8
2919108,Lamarão,BA,0.372,0.501,180.82,0.5,53.56,32.78,7.81,7.55,2.6
2919157,Lapão,BA,0.51,0.55,244.43,0.52,47.08,20.99,8.8,9.13,3.1
2919207,Lauro de Freitas,BA,0.663,0.781,1031.78,0.63,11.45,4.93,8.86,11.46,3.3
2919306,Lençóis,BA,0.51,0.613,362.74,0.61,39.34,18.65,8.31,9.85,3.2
2919405,Licínio de Almeida,BA,0.531,0.582,299.47,0.45,29.59,2.29,9.54,4.66,4.8
2919504,Livramento de Nossa Senhora,BA,0.491,0.587,309.16,0.52,35.73,21.15,8.97,8.01,4
2919553,Luís Eduardo Magalhães,BA,0.59,0.754,871.12,0.62,10.52,7.27,8.76,7.9,3.9
2919603,Macajuba,BA,0.358,0.515,197.25,0.55,54.31,27.76,7.25,12.42,3
2919702,Macarani,BA,0.466,0.607,350.25,0.46,23.98,2.75,7.56,9.16,3.9
2919801,Macaúbas,BA,0.513,0.557,255.36,0.55,44.17,26.44,8.62,8.17,3.6
2919900,Macururé,BA,0.539,0.547,240.32,0.55,47.59,25.77,9.61,9.41,3.4
2919926,Madre de Deus,BA,0.667,0.67,517.74,0.54,22.34,5.26,9.52,24.9,3.4
2919959,Maetinga,BA,0.368,0.565,268.47,0.46,33.28,32.92,8.53,3.24,2.8
2920007,Maiquinique,BA,0.472,0.586,306.24,0.46,27.36,26.79,8.36,13.47,3.1
2920106,Mairi,BA,0.438,0.575,286.58,0.5,39.5,24.09,8.06,6.54,3.3
2920205,Malhada,BA,0.454,0.532,218.66,0.49,44.63,24.31,8.02,7.06,3
2920304,Malhada de Pedras,BA,0.471,0.549,244.02,0.48,39.63,26.09,9.12,5.61,3.9
2920403,Manoel Vitorino,BA,0.456,0.538,226.95,0.51,46.92,27.81,9.58,7.52,3.2
2920452,Mansidão,BA,0.568,0.503,182.65,0.55,55.1,17.54,8.55,8.54,3.4
2920502,Maracás,BA,0.519,0.577,290.11,0.51,39.19,24.62,9.06,8.51,3.1
2920601,Maragogipe,BA,0.518,0.582,30.01,0.57,42.63,22.75,8.73,10.5,2.7
2920700,Maraú,BA,0.404,0.643,437.51,0.71,44.19,25.44,6.84,6.12,2.5
2920809,Marcionílio Souza,BA,0.463,0.518,201.52,0.49,48.41,3.06,8.39,20.11,3.6
2920908,Mascote,BA,0.464,0.567,272.97,0.58,46.08,30.47,8.53,16.44,3.2
2921005,Mata de São João,BA,0.562,0.648,45.19,0.56,23.45,11.56,8.65,14.58,4
2921054,Matina,BA,0.469,0.538,227.07,0.46,39.62,31.97,8.76,6.1,3.1
2921104,Medeiros Neto,BA,0.501,0.626,392.49,0.53,27.86,24.08,7.89,11.19,3.1
2921203,Miguel Calmon,BA,0.472,0.571,279.05,0.54,43.1,20.42,8.2,9.48,3.1
2921302,Milagres,BA,0.518,0.59,313.88,0.51,33.35,22.25,8.5,14.49,2.9
2921401,Mirangaba,BA,0.454,0.512,193.47,0.51,50.34,25.45,8.63,8.28,2.6
2921450,Mirante,BA,0.386,0.524,208.18,0.52,49.79,30.18,8.89,6.63,3.3
2921500,Monte Santo,BA,0.359,0.515,197.43,0.55,55.01,35.57,7.91,4.87,3.1
2921609,Morpará,BA,0.444,0.536,224.53,0.55,50.91,27.64,9.03,14.61,3.4
2921708,Morro do Chapéu,BA,0.478,0.554,250.88,0.51,43.04,22,9.38,8.97,3.3
2921807,Mortugaba,BA,0.513,0.598,33.03,0.48,26.65,26.49,9.02,5.56,4.1
2922003,Mucuri,BA,0.541,0.679,546.41,0.57,22.95,18.26,7.97,10.11,3.4
2922052,Mulungu do Morro,BA,0.466,0.517,199.94,0.49,49.91,20.41,8.22,7.87,3
2922102,Mundo Novo,BA,0.429,0.606,346.89,0.65,41.77,22.88,8.15,9.23,3
2922201,Muniz Ferreira,BA,0.531,0.581,297.78,0.51,33.95,22.54,9.61,11.4,2.5
2922250,Muquém de São Francisco,BA,0.445,0.488,166.67,0.55,59.01,25.28,8.57,12.79,3.5
2922300,Muritiba,BA,0.573,0.629,401.14,0.55,26.53,16.84,8.41,16.83,2.8
2922409,Mutuípe,BA,0.467,0.618,37.48,0.63,40.5,23.48,8.31,6.75,2.8
2922508,Nazaré,BA,0.532,0.637,421.82,0.61,34.19,18.43,8.95,12.68,2.8
2922607,Nilo Peçanha,BA,0.404,0.531,218.32,0.52,48.88,26.29,6.83,4.34,4.1
2922656,Nordestina,BA,0.467,0.507,187.22,0.54,54.61,29.46,9.64,9.5,3
2922706,Nova Canaã,BA,0.37,0.554,25.19,0.46,36.62,31.43,7.12,7.21,3.1
2922730,Nova Fátima,BA,0.501,0.575,287.32,0.43,28.65,23.62,9.14,8.14,3.1
2922755,Nova Ibiá,BA,0.419,0.62,37.81,0.56,31.18,29.01,8.12,5.41,3.3
2922805,Nova Itarana,BA,0.389,0.508,188.86,0.55,55.04,30.56,6.98,19.42,2.9
2922854,Nova Redenção,BA,0.471,0.534,222.33,0.5,46.88,27.15,7.51,17.24,3.2
2922904,Nova Soure,BA,0.439,0.548,241.71,0.57,50.39,31.39,8.52,7.42,3.2
2923001,Nova Viçosa,BA,0.546,0.657,476.79,0.61,26.17,19.02,9.38,11.68,3
2923035,Novo Horizonte,BA,0.503,0.558,257.12,0.56,46.08,21.94,8.66,8.99,4.2
2923050,Novo Triunfo,BA,0.43,0.513,194.56,0.51,51.25,23.28,7.26,17.95,2.2
2923100,Olindina,BA,0.403,0.534,222.62,0.58,52.64,29.11,7.11,7.23,2.7
2923209,Oliveira dos Brejinhos,BA,0.427,0.533,220.72,0.56,47.07,22.08,8.7,15.56,2.9
2923308,Ouriçangas,BA,0.503,0.572,281.59,0.45,32.58,2.69,8.54,6.01,3.6
2923357,Ourolândia,BA,0.459,0.547,239.93,0.52,44.6,27.85,7.87,5.46,3.3
2923407,Palmas de Monte Alto,BA,0.462,0.561,262.69,0.48,41.14,28.42,8.7,7.35,3.5
2923506,Palmeiras,BA,0.56,0.608,350.79,0.58,38.11,17.81,9.12,9.41,3.6
2923605,Paramirim,BA,0.496,0.604,343.78,0.51,30.95,20.02,8.24,10.2,3.4
2923704,Paratinga,BA,0.51,0.519,201.79,0.55,51.6,24.28,8.87,9.35,3.3
2923803,Paripiranga,BA,0.472,0.567,273.23,0.59,46.78,28.07,8.93,4.12,3.3
2923902,Pau Brasil,BA,0.47,0.58,296.08,0.56,41.5,28.19,7.73,7.89,2.9
2924009,Paulo Afonso,BA,0.572,0.678,544.73,0.58,22.69,16.69,8.9,10.2,3.3
2924058,Pé de Serra,BA,0.465,0.558,257.45,0.46,35.54,24.36,8.92,7.71,3.4
2924108,Pedrão,BA,0.49,0.534,221.53,0.47,44.72,21.88,8.95,8.08,2.5
2924207,Pedro Alexandre,BA,0.354,0.489,167.65,0.51,56.17,40.96,7.11,5.1,2.4
2924306,Piatã,BA,0.447,0.543,234.44,0.54,46.46,23.74,9.12,6.99,3.8
2924405,Pilão Arcado,BA,0.343,0.514,195.98,0.6,55.56,30.09,6.34,8.31,2.7
2924504,Pindaí,BA,0.498,0.566,270.15,0.45,31.53,2.38,9.3,5.35,3.5
2924603,Pindobaçu,BA,0.482,0.527,212.52,0.5,46.36,24.68,8.32,9.89,3.4
2924652,Pintadas,BA,0.525,0.572,281.74,0.46,34.7,24.03,10.34,7.52,2.7
2924678,Piraí do Norte,BA,0.363,0.546,238.62,0.49,42.52,26.18,6.08,5.49,2.9
2924702,Piripá,BA,0.453,0.547,24.11,0.49,41.13,25.41,7.3,10.14,3.6
2924801,Piritiba,BA,0.449,0.566,27.14,0.52,42.43,21.63,8.36,9.04,2.2
2924900,Planaltino,BA,0.462,0.573,282.33,0.56,42.02,32.24,9.06,6.65,4.2
2925006,Planalto,BA,0.428,0.557,256.26,0.45,37.1,29.46,8.01,10.61,3.3
2925105,Poções,BA,0.474,0.583,300.74,0.54,38.45,26.93,8.81,14.74,3.1
2925204,Pojuca,BA,0.559,0.645,44.38,0.5,21.62,9.32,8.64,21.3,3
2925253,Ponto Novo,BA,0.475,0.539,229.61,0.49,42.69,25.44,9.33,11.59,2.5
2925303,Porto Seguro,BA,0.572,0.673,527.04,0.56,19.78,11.98,8.75,10.1,3.2
2925402,Potiraguá,BA,0.545,0.595,323.92,0.49,27.83,22.35,9.78,14.63,3
2925501,Prado,BA,0.497,0.616,369.96,0.55,29.81,1.99,8.53,10.71,3.3
2925600,Presidente Dutra,BA,0.553,0.572,280.86,0.53,41.11,15.42,9.1,4.16,3.5
2925709,Presidente Jânio Quadros,BA,0.386,0.533,22.01,0.53,49.92,34.02,7.16,9.22,2.7
2925758,Presidente Tancredo Neves,BA,0.424,0.566,270.35,0.55,42.47,29.15,7.67,4.85,3.1
2925808,Queimadas,BA,0.493,0.55,24.57,0.51,43.24,23.61,9.23,11.72,3.1
2925907,Quijingue,BA,0.434,0.539,228.71,0.58,50.84,34.47,8.8,4.01,2.5
2925931,Quixabeira,BA,0.469,0.547,24.11,0.49,44.39,30.83,8.9,5.48,3.3
2925956,Rafael Jambeiro,BA,0.435,0.538,226.94,0.5,45.52,29.78,7.71,7.48,2.5
2926103,Retirolândia,BA,0.574,0.579,293.01,0.46,31.79,19.21,10.23,9.3,2.8
2926202,Riachão das Neves,BA,0.471,0.527,212.09,0.53,47.3,30.16,7.74,14.15,3
2926301,Riachão do Jacuípe,BA,0.559,0.588,311.47,0.47,28.11,17.98,9.04,10.41,3.2
2926400,Riacho de Santana,BA,0.532,0.572,281.05,0.56,43,27.54,9.2,8.76,4.4
2926509,Ribeira do Amparo,BA,0.384,0.503,183.12,0.53,55.7,35.59,8.15,4.22,2.6
2926608,Ribeira do Pombal,BA,0.515,0.599,332.86,0.54,34.79,26.34,8.44,8.48,3.1
2926657,Ribeirão do Largo,BA,0.366,0.566,271.68,0.46,34.6,30.96,7.36,6.36,2.4
2926707,Rio de Contas,BA,0.498,0.58,294.83,0.48,32.97,20.04,8.79,5.43,3.6
2926806,Rio do Antônio,BA,0.465,0.555,252.98,0.49,39.43,28.44,8.2,4.83,3.6
2926905,Rio do Pires,BA,0.481,0.568,274.58,0.48,36.17,27.34,8.08,6.5,3.1
2927002,Rio Real,BA,0.452,0.568,274.86,0.53,41.6,24.43,9.17,4.67,2.9
2927101,Rodelas,BA,0.564,0.566,271.59,0.53,43.13,22.16,8.61,11.48,3.8
2927200,Ruy Barbosa,BA,0.505,0.583,301.42,0.55,39.83,22.69,8.52,13.98,3.1
2927309,Salinas da Margarida,BA,0.561,0.575,286.45,0.54,41.93,12.04,8.79,5.83,3
2927408,Salvador,BA,0.679,0.772,9.73,0.63,11.35,3.97,9.16,13.54,2.7
2927507,Santa Bárbara,BA,0.462,0.554,251.87,0.52,43.86,22.23,7.94,10.26,2.7
2927606,Santa Brígida,BA,0.431,0.533,220.77,0.55,51.75,34.08,8.72,4.49,3.2
2927705,Santa Cruz Cabrália,BA,0.571,0.624,388.28,0.58,35.33,15.81,9.13,14,3.3
2927804,Santa Cruz da Vitória,BA,0.504,0.573,282.42,0.54,40.13,24.61,7.39,12,2.9
2927903,Santa Inês,BA,0.47,0.571,280.25,0.48,36.1,28.26,9.89,13.07,2.9
2928000,Santaluz,BA,0.5,0.559,260.09,0.49,38.74,23.37,8.84,10.58,3.5
2928059,Santa Luzia,BA,0.396,0.564,267.88,0.46,35.7,29.89,7.79,7.62,2.4
2928109,Santa Maria da Vitória,BA,0.516,0.592,318.31,0.54,34.68,23.97,8.75,7.35,3.8
2928208,Santana,BA,0.496,0.585,304.18,0.54,38.45,25.72,7.89,11.18,3.2
2928307,Santanópolis,BA,0.496,0.561,263.19,0.52,38.96,24.27,9.37,6.22,2.5
2928406,Santa Rita de Cássia,BA,0.513,0.564,267.32,0.6,46.85,21.04,8.66,6.44,3.4
2928505,Santa Teresinha,BA,0.459,0.549,243.04,0.53,45.32,25.36,7.97,11.36,3.4
2928604,Santo Amaro,BA,0.559,0.626,392.75,0.56,28.8,12.66,8.5,13.92,2.8
2928703,Santo Antônio de Jesus,BA,0.622,0.677,540.38,0.54,17.91,12.35,9,10.82,2.8
2928802,Santo Estêvão,BA,0.498,0.611,358.13,0.56,32.34,21.48,8.59,10.96,2.7
2928901,São Desidério,BA,0.449,0.584,30.22,0.57,40.12,25.55,8.23,5.56,3.7
2928950,São Domingos,BA,0.575,0.601,335.76,0.47,27.18,22.14,9.22,8.08,4.3
2929008,São Félix,BA,0.583,0.582,299.65,0.48,30.6,15.01,9.49,13.28,3
2929057,São Félix do Coribe,BA,0.555,0.601,33.59,0.5,28.94,16.83,9.53,9.2,4
2929107,São Felipe,BA,0.525,0.565,268.96,0.5,38.65,22.64,8.71,7.24,2.6
2929206,São Francisco do Conde,BA,0.587,0.641,433.23,0.5,18.84,1.01,7.91,25.73,3.3
2929255,São Gabriel,BA,0.537,0.55,245.38,0.51,44.5,19.56,9.23,7.02,3.4
2929305,São Gonçalo dos Campos,BA,0.516,0.636,419.27,0.55,23.86,15.03,8.78,12.78,2.7
2929354,São José da Vitória,BA,0.429,0.553,250.42,0.45,38.68,2.81,8.57,11.61,2.7
2929370,São José do Jacuípe,BA,0.417,0.555,253.57,0.46,39.89,28.56,7.72,8.41,2.2
2929404,São Miguel das Matas,BA,0.468,0.568,274.08,0.51,43.78,24.61,8.36,4.22,3.2
2929503,São Sebastião do Passé,BA,0.551,0.633,411.75,0.53,25.77,13.74,8.19,18.2,3
2929602,Sapeaçu,BA,0.522,0.602,338.34,0.58,36.8,15.88,8.23,10.76,2.5
2929701,Sátiro Dias,BA,0.379,0.524,20.82,0.54,52.46,30.37,7.62,5.18,3.2
2929750,Saubara,BA,0.565,0.563,265.17,0.49,39.83,14.62,9.01,10.34,3.2
2929800,Saúde,BA,0.442,0.546,238.81,0.55,48.93,21.74,7.83,15.19,3
2929909,Seabra,BA,0.572,0.588,310.95,0.57,39.46,1.61,9.4,7.53,3.3
2930006,Sebastião Laranjeiras,BA,0.527,0.569,276.29,0.46,35.31,24.78,8.34,5.61,3.1
2930105,Senhor do Bonfim,BA,0.599,0.638,422.89,0.57,30.31,16.31,8.92,12.02,2.8
2930154,Serra do Ramalho,BA,0.512,0.53,216.59,0.53,48.82,24.77,9.23,12.35,3.1
2930204,Sento Sé,BA,0.48,0.535,222.84,0.53,49.51,24.54,8.75,9.02,2.9
2930402,Serra Preta,BA,0.459,0.541,232.52,0.48,42.08,27.72,8.63,9.94,2.7
2930501,Serrinha,BA,0.532,0.615,367.73,0.55,31.96,17.01,8.24,10.48,3
2930600,Serrolândia,BA,0.508,0.56,261.29,0.5,38.82,22.61,9.3,8.92,2.9
2930758,Sítio do Mato,BA,0.509,0.455,135.49,0.59,67.91,20.89,9.68,10.39,2.6
2930766,Sítio do Quinto,BA,0.395,0.552,247.62,0.55,47.71,37.98,9.16,6.21,2.2
2930774,Sobradinho,BA,0.555,0.605,344.74,0.49,27.53,18.35,9.19,12.92,3.6
2930808,Souto Soares,BA,0.53,0.533,220.67,0.54,47.75,20.74,9.06,3.76,3.8
2930907,Tabocas do Brejo Velho,BA,0.492,0.53,21.65,0.54,49.53,29.51,8.66,7.59,3.4
2931004,Tanhaçu,BA,0.44,0.565,268.62,0.5,41.94,25.92,8.34,8.8,3.3
2931053,Tanque Novo,BA,0.474,0.583,301.39,0.6,43.81,27.81,8.82,5.81,3.8
2931202,Taperoá,BA,0.426,0.566,270.97,0.53,44.53,27.21,7.36,5.49,3.3
2931301,Tapiramutá,BA,0.473,0.589,312.39,0.61,44.55,23.61,8.8,14.52,3.4
2931350,Teixeira de Freitas,BA,0.588,0.683,560.73,0.53,15.92,14.65,8.95,11,3.6
2931400,Teodoro Sampaio,BA,0.477,0.567,272.86,0.54,39.63,22.95,8.26,17.15,2.9
2931509,Teofilândia,BA,0.431,0.571,278.91,0.55,41.56,24.94,8.24,5.85,2.8
2931608,Teolândia,BA,0.418,0.541,231.92,0.48,44.84,3.08,6.85,9.3,4
2931707,Terra Nova,BA,0.474,0.581,29.66,0.45,27.59,13.08,8.64,17.61,3
2931806,Tremedal,BA,0.36,0.545,23.73,0.48,42.9,30.61,7.34,11.37,3
2931905,Tucano,BA,0.458,0.596,32.57,0.65,47.22,29.39,8.38,9.14,3.1
2932101,Ubaíra,BA,0.447,0.581,296.48,0.59,43.77,29.91,8.38,7.87,2.7
2932309,Ubatã,BA,0.452,0.586,306.52,0.53,40.02,26.77,7.24,19.07,2.6
2932408,Uibaí,BA,0.54,0.575,286.67,0.53,38.28,16.56,8.74,7.66,3.8
2932457,Umburanas,BA,0.413,0.469,148.15,0.5,59.73,25.36,8.48,20.28,3.6
2932507,Una,BA,0.424,0.584,303.78,0.52,34.41,25.35,7.56,15.39,3.3
2932606,Urandi,BA,0.469,0.595,325.07,0.51,30.41,23.24,8.48,12.52,3
2932705,Uruçuca,BA,0.507,0.607,349.43,0.48,25.88,21.91,8.31,15.43,2.4
2932804,Utinga,BA,0.487,0.597,327.96,0.62,43,20.97,9.6,7.93,3.5
2932903,Valença,BA,0.502,0.619,376.23,0.54,30.24,1.92,8.01,11.38,2.7
2933000,Valente,BA,0.568,0.623,38.53,0.49,21.48,16.14,8.94,6.83,3.3
2933059,Várzea da Roça,BA,0.374,0.539,228.58,0.49,46.33,2.89,7.58,9.87,2.9
2933109,Várzea do Poço,BA,0.462,0.581,296.74,0.5,40.24,2.37,8.88,8.9,2.7
2933158,Várzea Nova,BA,0.46,0.543,234.88,0.5,45.93,23.57,7.93,9.33,3
2933174,Varzedo,BA,0.461,0.581,297.56,0.52,38.23,26.23,8.46,7.77,3.1
2933208,Vera Cruz,BA,0.52,0.632,408.64,0.57,30.59,10.76,8.95,13.3,2.4
2933257,Vereda,BA,0.436,0.568,274.76,0.47,34.32,3.07,7,5.31,3.8
2933307,Vitória da Conquista,BA,0.581,0.681,555.66,0.55,18.07,13.31,8.75,9.6,3.1
2933406,Wagner,BA,0.479,0.573,283.34,0.52,39.77,21.58,8.98,8.85,3
2933455,Wanderley,BA,0.498,0.569,275.76,0.59,47.09,24.77,7.94,9.52,3.2
2933505,Wenceslau Guimarães,BA,0.383,0.558,257.12,0.45,37.03,30.47,7.32,7.62,2.7
2933604,Xique-Xique,BA,0.479,0.563,265.25,0.56,44.21,22.21,8.7,11.85,3.3
