id_municipio,nome,sigla_uf,idhm_e,idhm_r,renda_pc,indice_gini,prop_pobreza,taxa_analfabetismo_15_mais,expectativa_anos_estudo,taxa_desocupacao,ideb
2801702,Cristinápolis,SE,0.414,0.54,229.99,0.5,43.75,30.45,8.88,8.55,2.3
2801900,Cumbe,SE,0.512,0.576,288.67,0.49,36.82,26.52,9.75,3.79,3.2
2802007,Divina Pastora,SE,0.527,0.571,278.62,0.4,28.74,23.15,9.22,12.79,2.8
2802106,Estância,SE,0.552,0.627,395.41,0.52,27.5,17.89,9.16,14.25,2.7
2802205,Feira Nova,SE,0.473,0.546,238.42,0.47,42.51,30.24,9.35,17.02,2.6
2802304,Frei Paulo,SE,0.428,0.623,386.65,0.48,22.1,26.55,7.1,6.87,2.1
2802403,Gararu,SE,0.422,0.544,236.06,0.61,54.22,30.77,8.55,4.61,2.9
2802502,General Maynard,SE,0.567,0.609,354.58,0.54,30.98,15.23,9.75,21.27,2.8
2802601,Gracho Cardoso,SE,0.468,0.562,264.86,0.56,45.18,29.95,8.15,6.75,3.2
2802700,Ilha das Flores,SE,0.469,0.514,195.64,0.56,58.57,25.71,8.5,10.65,2.5
2802809,Indiaroba,SE,0.475,0.533,220.89,0.53,50.58,26.72,8.97,5.42,2.5
2802908,Itabaiana,SE,0.513,0.645,443.39,0.52,21.91,21.79,8.98,5.82,3
2803005,Itabaianinha,SE,0.407,0.555,253.22,0.51,44.39,29.83,8.14,6.46,3
2803104,Itabi,SE,0.512,0.569,276.77,0.47,36.88,30.87,9.91,5.22,3.9
2803203,Itaporanga d'Ajuda,SE,0.414,0.548,242.62,0.49,42.21,24.55,7.71,19.2,2.6
2803302,Japaratuba,SE,0.544,0.581,296.93,0.5,34.75,20.58,8.91,13.21,3
2803401,Japoatã,SE,0.455,0.551,246.68,0.49,42.52,30.84,8.59,8.11,3.3
2803500,Lagarto,SE,0.515,0.613,36.28,0.5,28.14,25.32,9.24,7.04,3.6
2803609,Laranjeiras,SE,0.582,0.589,313.29,0.49,31.34,15.66,8.45,18.58,2.7
2803708,Macambira,SE,0.474,0.573,28.24,0.43,33.44,3.15,9.24,4.01,3.2
2803807,Malhada dos Bois,SE,0.531,0.56,261.05,0.46,36.58,23.66,9.74,12.06,3.4
2803906,Malhador,SE,0.442,0.587,308.04,0.45,31.69,24.73,8.49,3.79,2.8
2804003,Maruim,SE,0.511,0.59,314.55,0.48,31.62,17.66,9.01,18.3,2.4
2804102,Moita Bonita,SE,0.429,0.596,326.89,0.44,29.29,26.52,8.8,2.07,3.3
2804201,Monte Alegre de Sergipe,SE,0.431,0.539,22.93,0.56,51.29,33.83,7.88,8.75,2.6
2804300,Muribeca,SE,0.554,0.575,28.68,0.49,34.21,24.69,9.48,9.13,3.1
2804409,Neópolis,SE,0.505,0.575,286.69,0.55,40.49,22.72,8.15,17.07,3.3
2804458,Nossa Senhora Aparecida,SE,0.43,0.577,289.16,0.56,45.52,37.75,8.34,3.84,2.5
2804508,Nossa Senhora da Glória,SE,0.456,0.591,316.84,0.52,34.64,26.69,8.21,6.28,2.8
2804607,Nossa Senhora das Dores,SE,0.497,0.579,294.53,0.51,37.9,28.39,9.38,9.82,2.6
2804706,Nossa Senhora de Lourdes,SE,0.532,0.56,261.29,0.49,39.99,28.91,9.3,6.26,3.4
2804805,Nossa Senhora do Socorro,SE,0.581,0.62,379.98,0.47,21.41,10.69,9.28,15.01,2.7
